feature,importance
home_away_strength_diff,0.107842095
away_season_avg_scored,0.08341289
home_season_avg_scored,0.07719401
home_rolling5_shots,0.045292575
home_league_position,0.04472388
home_rolling5_shots_on_target,0.041429922
away_rolling5_shots,0.03909151
h2h_avg_total_goals,0.03359314
home_rolling5_goals_scored,0.032474156
home_season_avg_conceded,0.03168842
home_form_goals_scored,0.031517882
h2h_win_rate,0.031154053
away_season_avg_conceded,0.030895907
away_form_points,0.030436136
away_rolling5_goals_conceded,0.030048462
away_rolling5_goals_scored,0.02980061
home_form_points,0.028354498
away_rolling5_shots_on_target,0.027861824
home_rolling5_corners,0.027555315
away_points,0.025774665
away_form_goals_scored,0.025658317
home_points,0.02535568
home_rolling5_goals_conceded,0.024931155
away_rolling5_corners,0.024910223
away_league_position,0.02470963
home_shot_accuracy,0.024264118
away_shot_accuracy,0.020028895
